Marks,Percentile,Rank
42,74.14273600110184,239426
43,74.99766322705747,231470
44,75.85259045301311,223515
45,76.70751767896874,215559
46,77.56244490492436,207604
47,78.41737213088,199648
48,79.27229935683563,191693
49,80.12722658279127,183737
50,80.9821538087469,175782
51,82.0160627661434,165829
52,82.5596051981409,160754
53,83.10314763013838,155679
54,83.64669006213587,150604
55,84.19023249413335,145529
56,84.73377492613085,140455
57,85.27731735812833,135380
58,85.82085979012582,130305
59,86.3644022221233,125230
60,86.9079446541208,120156
61,87.5122250914779,115050
62,87.86666681139585,111784
63,88.22110853131379,108518
64,88.57555025123173,105253
65,88.92999197114968,101987
66,89.28443369106762,98722
67,89.63887541098556,95456
68,89.9933171309035,92191
69,90.34775885082145,88925
70,90.7022005707394,85660
71,91.0721283110867,82782
72,91.30333314880369,80687
73,91.53453798652068,78592
74,91.76574282423766,76497
75,91.99694766195465,74402
76,92.22815249967165,72307
77,92.45935733738864,70212
78,92.69056217510563,68117
79,92.92176701282261,66022
80,93.1529718505396,63928
81,93.4712312797351,60500
82,93.61325883158462,59133
83,93.75528638343414,57766
84,93.89731393528366,56400
85,94.03934148713319,55033
86,94.18136903898271,53666
87,94.32339659083223,52300
88,94.46542414268175,50933
89,94.60745169453128,49566
90,94.7494792463808,48200
91,94.9985943180054,46100
92,95.11706719859455,45010
93,95.2355400791837,43920
94,95.35401295977287,42830
95,95.47248584036203,41740
96,95.59095872095118,40650
97,95.70943160154033,39560
98,95.8279044821295,38470
99,95.94637736271865,37380
100,96.0648502433078,36290
101,96.2045500677875,32970
102,96.29051919054425,32399
103,96.37648831330098,31829
104,96.46245743605773,31259
105,96.54842655881447,30689
106,96.63439568157122,30118
107,96.72036480432796,29548
108,96.80633392708471,28978
109,96.89230304984144,28408
110,96.9782721725982,27838
111,97.1429377776765,26390
112,97.20324159554738,25832
113,97.26354541341827,25274
114,97.32384923128916,24717
115,97.38415304916005,24159
116,97.44445686703095,23602
117,97.50476068490184,23044
118,97.56506450277273,22487
119,97.62536832064362,21929
120,97.6856721385145,21372
121,97.8112608696124,20200
122,97.86046878499504,19744
123,97.90967670037769,19288
124,97.95888461576033,18833
125,98.00809253114298,18377
126,98.05730044652562,17922
127,98.10650836190827,17466
128,98.1557162772909,17011
129,98.20492419267356,16555
130,98.2541321080562,16100
131,98.3174149345299,15551
132,98.35625059323876,15181
133,98.39508625194762,14811
134,98.43392191065647,14441
135,98.47275756936533,14071
136,98.51159322807418,13701
137,98.55042888678304,13331
138,98.58926454549189,12961
139,98.62810020420075,12591
140,98.6669358629096,12221
141,98.7323896268267,11700
142,98.76104600107895,11435
143,98.78970237533119,11171
144,98.81835874958344,10906
145,98.84701512383567,10642
146,98.87567149808793,10377
147,98.90432787234016,10113
148,98.93298424659241,9848
149,98.96164062084465,9584
150,98.9902969950969,9320
151,99.0286140409721,8970
152,99.05207222612388,8861
153,99.07553041127565,8753
